yr,mon,arr_hour,delay_type,type_count
2010,9,2,None,46
2010,9,2,Slight,12
2010,9,2,Moderate,2
2010,9,2,Severe,5
2010,9,3,None,43
2010,9,3,Slight,8
2010,9,3,Moderate,2
2010,9,3,Severe,7
2010,9,4,None,173
2010,9,4,Slight,62
2010,9,4,Moderate,7
2010,9,4,Severe,3
2010,9,5,None,2119
2010,9,5,Slight,595
2010,9,5,Moderate,188
2010,9,5,Severe,158
2010,9,6,None,5283
2010,9,6,Slight,948
2010,9,6,Moderate,308
2010,9,6,Severe,193
2010,9,7,None,15097
2010,9,7,Slight,1565
2010,9,7,Moderate,412
2010,9,7,Severe,373
2010,9,8,None,20295
2010,9,8,Slight,2475
2010,9,8,Moderate,712
2010,9,8,Severe,471
2010,9,9,None,27328
2010,9,9,Slight,3892
2010,9,9,Moderate,1108
2010,9,9,Severe,725
2010,9,10,None,27248
2010,9,10,Slight,4390
2010,9,10,Moderate,1418
2010,9,10,Severe,868
2010,9,11,None,26534
2010,9,11,Slight,5374
2010,9,11,Moderate,1634
2010,9,11,Severe,1069
2010,9,12,None,26285
2010,9,12,Slight,6046
2010,9,12,Moderate,2005
2010,9,12,Severe,1331
2010,9,13,None,24376
2010,9,13,Slight,6133
2010,9,13,Moderate,2235
2010,9,13,Severe,1319
2010,9,14,None,24518
2010,9,14,Slight,6484
2010,9,14,Moderate,2404
2010,9,14,Severe,1444
2010,9,15,None,22888
2010,9,15,Slight,7084
2010,9,15,Moderate,2724
2010,9,15,Severe,1610
2010,9,16,None,24820
2010,9,16,Slight,8204
2010,9,16,Moderate,3350
2010,9,16,Severe,2006
2010,9,17,None,22162
2010,9,17,Slight,7851
2010,9,17,Moderate,3291
2010,9,17,Severe,2077
2010,9,18,None,22526
2010,9,18,Slight,7936
2010,9,18,Moderate,3559
2010,9,18,Severe,2298
2010,9,19,None,21125
2010,9,19,Slight,7308
2010,9,19,Moderate,3480
2010,9,19,Severe,2435
2010,9,20,None,22596
2010,9,20,Slight,7641
2010,9,20,Moderate,3685
2010,9,20,Severe,2792
2010,9,21,None,18045
2010,9,21,Slight,6109
2010,9,21,Moderate,3291
2010,9,21,Severe,2783
2010,9,22,None,15104
2010,9,22,Slight,4925
2010,9,22,Moderate,2720
2010,9,22,Severe,2020
2010,9,23,None,12218
2010,9,23,Slight,3952
2010,9,23,Moderate,2081
2010,9,23,Severe,1416
2010,10,0,None,1775
2010,10,0,Slight,662
2010,10,0,Moderate,389
2010,10,0,Severe,216
2010,10,1,None,171
2010,10,1,Slight,41
2010,10,1,Moderate,24
2010,10,1,Severe,15
2010,10,2,None,45
2010,10,2,Slight,12
2010,10,2,Moderate,4
2010,10,2,Severe,4
2010,10,3,None,34
2010,10,3,Slight,5
2010,10,3,Moderate,5
2010,10,3,Severe,0
2010,10,4,None,311
2010,10,4,Slight,60
2010,10,4,Moderate,23
2010,10,4,Severe,14
2010,10,5,None,2073
2010,10,5,Slight,583
2010,10,5,Moderate,176
2010,10,5,Severe,99
2010,10,6,None,5450
2010,10,6,Slight,984
2010,10,6,Moderate,259
2010,10,6,Severe,162
2010,10,7,None,14595
2010,10,7,Slight,1831
2010,10,7,Moderate,407
2010,10,7,Severe,374
2010,10,8,None,20880
2010,10,8,Slight,3221
2010,10,8,Moderate,821
2010,10,8,Severe,625
2010,10,9,None,27371
2010,10,9,Slight,4737
2010,10,9,Moderate,1287
2010,10,9,Severe,895
2010,10,10,None,26822
2010,10,10,Slight,5466
2010,10,10,Moderate,1543
2010,10,10,Severe,1066
2010,10,11,None,26330
2010,10,11,Slight,6591
2010,10,11,Moderate,1985
2010,10,11,Severe,1311
2010,10,12,None,26215
2010,10,12,Slight,7008
2010,10,12,Moderate,2334
2010,10,12,Severe,1620
2010,10,13,None,23700
2010,10,13,Slight,7399
2010,10,13,Moderate,2734
2010,10,13,Severe,1714
2010,10,14,None,23588
2010,10,14,Slight,7383
2010,10,14,Moderate,2824
2010,10,14,Severe,1823
2010,10,15,None,22534
2010,10,15,Slight,7871
2010,10,15,Moderate,3238
2010,10,15,Severe,2158
2010,10,16,None,24503
2010,10,16,Slight,9146
2010,10,16,Moderate,3768
2010,10,16,Severe,2592
2010,10,17,None,21504
2010,10,17,Slight,8376
2010,10,17,Moderate,3687
2010,10,17,Severe,2669
2010,10,18,None,21952
2010,10,18,Slight,8629
2010,10,18,Moderate,4342
2010,10,18,Severe,3034
2010,10,19,None,19750
2010,10,19,Slight,8055
2010,10,19,Moderate,3982
2010,10,19,Severe,2834
2010,10,20,None,23173
2010,10,20,Slight,8018
2010,10,20,Moderate,4307
2010,10,20,Severe,3107
2010,10,21,None,17642
2010,10,21,Slight,7015
2010,10,21,Moderate,3893
2010,10,21,Severe,2815
2010,10,22,None,15115
2010,10,22,Slight,5910
2010,10,22,Moderate,3204
2010,10,22,Severe,2358
2010,10,23,None,12268
2010,10,23,Slight,4327
2010,10,23,Moderate,2140
2010,10,23,Severe,1481
2010,11,0,None,1736
2010,11,0,Slight,699
2010,11,0,Moderate,426
2010,11,0,Severe,225
2010,11,1,None,237
2010,11,1,Slight,100
2010,11,1,Moderate,42
2010,11,1,Severe,29
2010,11,2,None,39
2010,11,2,Slight,18
2010,11,2,Moderate,6
2010,11,2,Severe,5
2010,11,3,None,38
2010,11,3,Slight,2
2010,11,3,Moderate,4
2010,11,3,Severe,2
2010,11,4,None,170
2010,11,4,Slight,39
2010,11,4,Moderate,22
2010,11,4,Severe,6
2010,11,5,None,2262
2010,11,5,Slight,667
2010,11,5,Moderate,255
2010,11,5,Severe,128
2010,11,6,None,4274
2010,11,6,Slight,864
2010,11,6,Moderate,304
2010,11,6,Severe,169
2010,11,7,None,13920
2010,11,7,Slight,1944
2010,11,7,Moderate,448
2010,11,7,Severe,314
2010,11,8,None,20061
2010,11,8,Slight,3189
2010,11,8,Moderate,732
2010,11,8,Severe,525
2010,11,9,None,25178
2010,11,9,Slight,4531
2010,11,9,Moderate,1294
2010,11,9,Severe,797
2010,11,10,None,26217
2010,11,10,Slight,5791
2010,11,10,Moderate,1741
2010,11,10,Severe,955
2010,11,11,None,23889
2010,11,11,Slight,5942
2010,11,11,Moderate,1899
2010,11,11,Severe,1053
2010,11,12,None,24877
2010,11,12,Slight,6695
2010,11,12,Moderate,2370
2010,11,12,Severe,1326
2010,11,13,None,23693
2010,11,13,Slight,7267
2010,11,13,Moderate,2711
2010,11,13,Severe,1439
2010,11,14,None,21864
2010,11,14,Slight,7041
2010,11,14,Moderate,2854
2010,11,14,Severe,1481
2010,11,15,None,21389
2010,11,15,Slight,7726
2010,11,15,Moderate,3146
2010,11,15,Severe,1796
2010,11,16,None,23601
2010,11,16,Slight,9142
2010,11,16,Moderate,3871
2010,11,16,Severe,2162
2010,11,17,None,19681
2010,11,17,Slight,8021
2010,11,17,Moderate,3769
