yr,mon,dep_hour,delay_type,type_count
2010,9,20,None,11261
2010,9,20,Slight,3733
2010,9,20,Moderate,2312
2010,9,20,Severe,1704
2010,9,21,None,10627
2010,9,21,Slight,3265
2010,9,21,Moderate,1777
2010,9,21,Severe,1222
2010,9,22,None,5543
2010,9,22,Slight,1232
2010,9,22,Moderate,600
2010,9,22,Severe,375
2010,9,23,None,1794
2010,9,23,Slight,332
2010,9,23,Moderate,189
2010,9,23,Severe,114
2010,10,0,None,571
2010,10,0,Slight,234
2010,10,0,Moderate,79
2010,10,0,Severe,22
2010,10,1,None,261
2010,10,1,Slight,81
2010,10,1,Moderate,17
2010,10,1,Severe,9
2010,10,2,None,40
2010,10,2,Slight,18
2010,10,2,Moderate,2
2010,10,2,Severe,1
2010,10,3,None,19
2010,10,3,Slight,6
2010,10,3,Moderate,3
2010,10,3,Severe,1
2010,10,4,None,0
2010,10,4,Slight,0
2010,10,4,Moderate,0
2010,10,4,Severe,0
2010,10,5,None,3843
2010,10,5,Slight,793
2010,10,5,Moderate,152
2010,10,5,Severe,87
2010,10,6,None,29781
2010,10,6,Slight,7185
2010,10,6,Moderate,1846
2010,10,6,Severe,789
2010,10,7,None,28654
2010,10,7,Slight,7768
2010,10,7,Moderate,2552
2010,10,7,Severe,1042
2010,10,8,None,28932
2010,10,8,Slight,8096
2010,10,8,Moderate,2771
2010,10,8,Severe,1294
2010,10,9,None,25275
2010,10,9,Slight,7007
2010,10,9,Moderate,2811
2010,10,9,Severe,1343
2010,10,10,None,26308
2010,10,10,Slight,7514
2010,10,10,Moderate,2929
2010,10,10,Severe,1711
2010,10,11,None,24163
2010,10,11,Slight,7484
2010,10,11,Moderate,3166
2010,10,11,Severe,1889
2010,10,12,None,24628
2010,10,12,Slight,7375
2010,10,12,Moderate,3393
2010,10,12,Severe,2195
2010,10,13,None,23789
2010,10,13,Slight,7804
2010,10,13,Moderate,3589
2010,10,13,Severe,2282
2010,10,14,None,21045
2010,10,14,Slight,7257
2010,10,14,Moderate,3687
2010,10,14,Severe,2369
2010,10,15,None,21918
2010,10,15,Slight,7702
2010,10,15,Moderate,3857
2010,10,15,Severe,2839
2010,10,16,None,21193
2010,10,16,Slight,7450
2010,10,16,Moderate,4023
2010,10,16,Severe,2900
2010,10,17,None,22185
2010,10,17,Slight,7494
2010,10,17,Moderate,4399
2010,10,17,Severe,2944
2010,10,18,None,20544
2010,10,18,Slight,6629
2010,10,18,Moderate,3898
2010,10,18,Severe,2854
2010,10,19,None,19814
2010,10,19,Slight,6369
2010,10,19,Moderate,3952
2010,10,19,Severe,2899
2010,10,20,None,11395
2010,10,20,Slight,4050
2010,10,20,Moderate,2630
2010,10,20,Severe,1676
2010,10,21,None,11090
2010,10,21,Slight,3522
2010,10,21,Moderate,1820
2010,10,21,Severe,1185
2010,10,22,None,5025
2010,10,22,Slight,1798
2010,10,22,Moderate,791
2010,10,22,Severe,323
2010,10,23,None,1565
2010,10,23,Slight,507
2010,10,23,Moderate,227
2010,10,23,Severe,64
2010,11,0,None,730
2010,11,0,Slight,203
2010,11,0,Moderate,70
2010,11,0,Severe,35
2010,11,1,None,210
2010,11,1,Slight,79
2010,11,1,Moderate,25
2010,11,1,Severe,19
2010,11,2,None,60
2010,11,2,Slight,17
2010,11,2,Moderate,3
2010,11,2,Severe,5
2010,11,3,None,8
2010,11,3,Slight,3
2010,11,3,Moderate,2
2010,11,3,Severe,1
2010,11,4,None,45
2010,11,4,Slight,9
2010,11,4,Moderate,2
2010,11,4,Severe,1
2010,11,5,None,3457
2010,11,5,Slight,747
2010,11,5,Moderate,189
2010,11,5,Severe,95
2010,11,6,None,28782
2010,11,6,Slight,7412
2010,11,6,Moderate,2296
2010,11,6,Severe,818
2010,11,7,None,26157
2010,11,7,Slight,7889
2010,11,7,Moderate,2800
2010,11,7,Severe,987
2010,11,8,None,26412
2010,11,8,Slight,7712
2010,11,8,Moderate,3119
2010,11,8,Severe,1135
2010,11,9,None,23302
2010,11,9,Slight,6686
2010,11,9,Moderate,2872
2010,11,9,Severe,1177
2010,11,10,None,24075
2010,11,10,Slight,7319
2010,11,10,Moderate,3098
2010,11,10,Severe,1423
2010,11,11,None,23166
2010,11,11,Slight,7935
2010,11,11,Moderate,3613
2010,11,11,Severe,1623
2010,11,12,None,22389
2010,11,12,Slight,7008
2010,11,12,Moderate,3220
2010,11,12,Severe,1677
2010,11,13,None,23034
2010,11,13,Slight,7741
2010,11,13,Moderate,3895
2010,11,13,Severe,2074
2010,11,14,None,20060
2010,11,14,Slight,6862
2010,11,14,Moderate,3800
2010,11,14,Severe,1973
2010,11,15,None,19419
2010,11,15,Slight,7309
2010,11,15,Moderate,3964
2010,11,15,Severe,2311
2010,11,16,None,20368
2010,11,16,Slight,7265
2010,11,16,Moderate,4341
2010,11,16,Severe,2633
2010,11,17,None,21450
2010,11,17,Slight,7509
2010,11,17,Moderate,4752
