yr,mon,arr_hour,delay_type,type_count
2010,10,11,Moderate,2490
2010,10,11,Severe,1272
2010,10,12,None,25774
2010,10,12,Slight,7054
2010,10,12,Moderate,2753
2010,10,12,Severe,1596
2010,10,13,None,23617
2010,10,13,Slight,7166
2010,10,13,Moderate,3012
2010,10,13,Severe,1752
2010,10,14,None,23270
2010,10,14,Slight,7325
2010,10,14,Moderate,3120
2010,10,14,Severe,1903
2010,10,15,None,22591
2010,10,15,Slight,7533
2010,10,15,Moderate,3538
2010,10,15,Severe,2139
2010,10,16,None,25052
2010,10,16,Slight,8432
2010,10,16,Moderate,3982
2010,10,16,Severe,2543
2010,10,17,None,22431
2010,10,17,Slight,7347
2010,10,17,Moderate,3758
2010,10,17,Severe,2700
2010,10,18,None,22478
2010,10,18,Slight,7990
2010,10,18,Moderate,4478
2010,10,18,Severe,3011
2010,10,19,None,20302
2010,10,19,Slight,7425
2010,10,19,Moderate,4128
2010,10,19,Severe,2766
2010,10,20,None,23606
2010,10,20,Slight,7582
2010,10,20,Moderate,4396
2010,10,20,Severe,3021
2010,10,21,None,18291
2010,10,21,Slight,6279
2010,10,21,Moderate,3999
2010,10,21,Severe,2796
2010,10,22,None,15845
2010,10,22,Slight,5314
2010,10,22,Moderate,3153
2010,10,22,Severe,2275
2010,10,23,None,12434
2010,10,23,Slight,4050
2010,10,23,Moderate,2292
2010,10,23,Severe,1440
2010,11,0,None,1889
2010,11,0,Slight,620
2010,11,0,Moderate,390
2010,11,0,Severe,187
2010,11,1,None,255
2010,11,1,Slight,76
2010,11,1,Moderate,48
2010,11,1,Severe,29
2010,11,2,None,30
2010,11,2,Slight,19
2010,11,2,Moderate,12
2010,11,2,Severe,7
2010,11,3,None,19
2010,11,3,Slight,17
2010,11,3,Moderate,7
2010,11,3,Severe,3
2010,11,4,None,170
2010,11,4,Slight,36
2010,11,4,Moderate,23
2010,11,4,Severe,8
2010,11,5,None,2287
2010,11,5,Slight,671
2010,11,5,Moderate,237
2010,11,5,Severe,117
2010,11,6,None,3956
2010,11,6,Slight,1118
2010,11,6,Moderate,372
2010,11,6,Severe,165
2010,11,7,None,12052
2010,11,7,Slight,3278
2010,11,7,Moderate,911
2010,11,7,Severe,385
2010,11,8,None,17542
2010,11,8,Slight,4814
2010,11,8,Moderate,1594
2010,11,8,Severe,557
2010,11,9,None,22471
2010,11,9,Slight,6228
2010,11,9,Moderate,2217
2010,11,9,Severe,884
2010,11,10,None,23594
2010,11,10,Slight,7272
2010,11,10,Moderate,2858
2010,11,10,Severe,980
2010,11,11,None,22724
2010,11,11,Slight,6378
2010,11,11,Moderate,2565
2010,11,11,Severe,1116
2010,11,12,None,23993
2010,11,12,Slight,6960
2010,11,12,Moderate,2938
2010,11,12,Severe,1377
2010,11,13,None,22855
2010,11,13,Slight,7364
2010,11,13,Moderate,3391
2010,11,13,Severe,1500
2010,11,14,None,21461
2010,11,14,Slight,6933
2010,11,14,Moderate,3293
2010,11,14,Severe,1553
2010,11,15,None,21387
2010,11,15,Slight,7239
2010,11,15,Moderate,3594
2010,11,15,Severe,1837
2010,11,16,None,23885
2010,11,16,Slight,8308
2010,11,16,Moderate,4348
