yr,mon,u_carrier,delay_type,type_count
2010,8,HA,None,391
2010,8,HA,Slight,158
2010,8,HA,Moderate,32
2010,8,HA,Severe,35
2010,8,HP,None,0
2010,8,HP,Slight,0
2010,8,HP,Moderate,0
2010,8,HP,Severe,0
2010,8,KH,None,0
2010,8,KH,Slight,0
2010,8,KH,Moderate,0
2010,8,KH,Severe,0
2010,8,MQ,None,24844
2010,8,MQ,Slight,7354
2010,8,MQ,Moderate,4132
2010,8,MQ,Severe,2642
2010,8,NW,None,0
2010,8,NW,Slight,0
2010,8,NW,Moderate,0
2010,8,NW,Severe,0
2010,8,OH,None,7234
2010,8,OH,Slight,698
2010,8,OH,Moderate,919
2010,8,OH,Severe,837
2010,8,OO,None,35539
2010,8,OO,Slight,9677
2010,8,OO,Moderate,4937
2010,8,OO,Severe,4196
2010,8,TZ,None,0
2010,8,TZ,Slight,0
2010,8,TZ,Moderate,0
2010,8,TZ,Severe,0
2010,8,UA,None,30170
2010,8,UA,Slight,6572
2010,8,UA,Moderate,3285
2010,8,UA,Severe,3083
2010,8,US,None,31692
2010,8,US,Slight,6597
2010,8,US,Moderate,2473
2010,8,US,Severe,1989
2010,8,VX,None,0
2010,8,VX,Slight,0
2010,8,VX,Moderate,0
2010,8,VX,Severe,0
2010,8,WN,None,27679
2010,8,WN,Slight,23898
2010,8,WN,Moderate,9949
2010,8,WN,Severe,4546
2010,8,XE,None,24199
2010,8,XE,Slight,5512
2010,8,XE,Moderate,2679
2010,8,XE,Severe,2103
2010,8,YV,None,9633
2010,8,YV,Slight,1105
2010,8,YV,Moderate,721
2010,8,YV,Severe,710
2010,9,9E,None,11410
2010,9,9E,Slight,2010
2010,9,9E,Moderate,997
2010,9,9E,Severe,853
2010,9,AA,None,37965
2010,9,AA,Slight,9990
2010,9,AA,Moderate,4450
2010,9,AA,Severe,3506
2010,9,AS,None,8948
2010,9,AS,Slight,1661
2010,9,AS,Moderate,512
2010,9,AS,Severe,224
2010,9,B6,None,11964
2010,9,B6,Slight,2729
2010,9,B6,Moderate,1517
2010,9,B6,Severe,1658
2010,9,CO,None,16836
2010,9,CO,Slight,7601
2010,9,CO,Moderate,1690
2010,9,CO,Severe,1018
2010,9,DH,None,0
2010,9,DH,Slight,0
2010,9,DH,Moderate,0
2010,9,DH,Severe,0
2010,9,DL,None,53505
2010,9,DL,Slight,18507
2010,9,DL,Moderate,7690
2010,9,DL,Severe,4279
2010,9,EV,None,15364
2010,9,EV,Slight,2719
2010,9,EV,Moderate,1796
2010,9,EV,Severe,1877
2010,9,F9,None,6427
2010,9,F9,Slight,2126
2010,9,F9,Moderate,755
2010,9,F9,Severe,326
2010,9,FL,None,18609
2010,9,FL,Slight,2503
2010,9,FL,Moderate,893
2010,9,FL,Severe,861
2010,9,HA,None,366
2010,9,HA,Slight,123
2010,9,HA,Moderate,26
2010,9,HA,Severe,29
2010,9,HP,None,0
2010,9,HP,Slight,0
2010,9,HP,Moderate,0
2010,9,HP,Severe,0
2010,9,KH,None,0
2010,9,KH,Slight,0
2010,9,KH,Moderate,0
2010,9,KH,Severe,0
2010,9,MQ,None,26534
2010,9,MQ,Slight,6091
2010,9,MQ,Moderate,3222
2010,9,MQ,Severe,2077
2010,9,NW,None,0
2010,9,NW,Slight,0
2010,9,NW,Moderate,0
2010,9,NW,Severe,0
2010,9,OH,None,8417
2010,9,OH,Slight,729
2010,9,OH,Moderate,772
2010,9,OH,Severe,785
2010,9,OO,None,36370
2010,9,OO,Slight,7729
2010,9,OO,Moderate,3276
2010,9,OO,Severe,2507
2010,9,TZ,None,0
2010,9,TZ,Slight,0
2010,9,TZ,Moderate,0
2010,9,TZ,Severe,0
2010,9,UA,None,31547
2010,9,UA,Slight,4909
2010,9,UA,Moderate,2104
2010,9,UA,Severe,1752
2010,9,US,None,32739
2010,9,US,Slight,5754
2010,9,US,Moderate,2080
2010,9,US,Severe,1349
2010,9,VX,None,0
2010,9,VX,Slight,0
2010,9,VX,Moderate,0
2010,9,VX,Severe,0
2010,9,WN,None,32870
2010,9,WN,Slight,20102
2010,9,WN,Moderate,7066
2010,9,WN,Severe,2650
2010,9,XE,None,23338
2010,9,XE,Slight,3514
2010,9,XE,Moderate,1580
2010,9,XE,Severe,1467
2010,9,YV,None,9477
2010,9,YV,Slight,839
2010,9,YV,Moderate,473
2010,9,YV,Severe,379
