yr,mon,dep_hour,delay_type,type_count
2010,7,18,Severe,5797
2010,7,19,None,13922
2010,7,19,Slight,7601
2010,7,19,Moderate,6036
2010,7,19,Severe,6080
2010,7,20,None,9565
2010,7,20,Slight,4808
2010,7,20,Moderate,3825
2010,7,20,Severe,3838
2010,7,21,None,8412
2010,7,21,Slight,4561
2010,7,21,Moderate,3245
2010,7,21,Severe,3077
2010,7,22,None,5384
2010,7,22,Slight,2168
2010,7,22,Moderate,1260
2010,7,22,Severe,1049
2010,7,23,None,2173
2010,7,23,Slight,968
2010,7,23,Moderate,574
2010,7,23,Severe,425
2010,8,0,None,702
2010,8,0,Slight,243
2010,8,0,Moderate,101
2010,8,0,Severe,43
2010,8,1,None,455
2010,8,1,Slight,156
2010,8,1,Moderate,40
2010,8,1,Severe,27
2010,8,2,None,70
2010,8,2,Slight,14
2010,8,2,Moderate,5
2010,8,2,Severe,8
2010,8,3,None,27
2010,8,3,Slight,9
2010,8,3,Moderate,8
2010,8,3,Severe,2
2010,8,4,None,0
2010,8,4,Slight,0
2010,8,4,Moderate,0
2010,8,4,Severe,0
2010,8,5,None,3974
2010,8,5,Slight,529
2010,8,5,Moderate,116
2010,8,5,Severe,104
2010,8,6,None,33977
2010,8,6,Slight,5392
2010,8,6,Moderate,1081
2010,8,6,Severe,911
2010,8,7,None,32918
2010,8,7,Slight,6596
2010,8,7,Moderate,1823
2010,8,7,Severe,1349
2010,8,8,None,29906
2010,8,8,Slight,7092
2010,8,8,Moderate,2280
2010,8,8,Severe,1553
2010,8,9,None,25341
2010,8,9,Slight,7148
2010,8,9,Moderate,2594
2010,8,9,Severe,1639
2010,8,10,None,26353
2010,8,10,Slight,8688
2010,8,10,Moderate,3428
2010,8,10,Severe,2014
2010,8,11,None,23662
2010,8,11,Slight,8371
2010,8,11,Moderate,3288
2010,8,11,Severe,2119
2010,8,12,None,23048
2010,8,12,Slight,8354
2010,8,12,Moderate,3588
2010,8,12,Severe,2103
2010,8,13,None,22880
2010,8,13,Slight,9044
2010,8,13,Moderate,3859
2010,8,13,Severe,2392
2010,8,14,None,19280
2010,8,14,Slight,9140
2010,8,14,Moderate,4392
2010,8,14,Severe,2442
2010,8,15,None,20445
2010,8,15,Slight,9300
2010,8,15,Moderate,4509
2010,8,15,Severe,2985
2010,8,16,None,19472
2010,8,16,Slight,8443
2010,8,16,Moderate,4594
2010,8,16,Severe,3334
2010,8,17,None,19953
2010,8,17,Slight,9298
2010,8,17,Moderate,5117
2010,8,17,Severe,3889
2010,8,18,None,18441
2010,8,18,Slight,8305
2010,8,18,Moderate,4845
2010,8,18,Severe,3995
2010,8,19,None,17447
2010,8,19,Slight,7902
2010,8,19,Moderate,4943
2010,8,19,Severe,4087
2010,8,20,None,11254
2010,8,20,Slight,4663
2010,8,20,Moderate,3056
2010,8,20,Severe,2694
2010,8,21,None,10388
2010,8,21,Slight,4133
2010,8,21,Moderate,2544
2010,8,21,Severe,2211
2010,8,22,None,5594
2010,8,22,Slight,2054
2010,8,22,Moderate,1050
2010,8,22,Severe,880
2010,8,23,None,2096
2010,8,23,Slight,862
2010,8,23,Moderate,400
2010,8,23,Severe,285
2010,9,0,None,583
2010,9,0,Slight,173
2010,9,0,Moderate,49
2010,9,0,Severe,24
2010,9,1,None,298
2010,9,1,Slight,65
2010,9,1,Moderate,13
2010,9,1,Severe,7
2010,9,2,None,51
2010,9,2,Slight,11
2010,9,2,Moderate,3
2010,9,2,Severe,1
2010,9,3,None,24
2010,9,3,Slight,2
2010,9,3,Moderate,1
2010,9,3,Severe,2
2010,9,4,None,0
2010,9,4,Slight,0
2010,9,4,Moderate,0
2010,9,4,Severe,0
2010,9,5,None,3880
2010,9,5,Slight,440
2010,9,5,Moderate,129
2010,9,5,Severe,86
2010,9,6,None,32880
2010,9,6,Slight,3754
2010,9,6,Moderate,861
2010,9,6,Severe,584
2010,9,7,None,32176
2010,9,7,Slight,4473
2010,9,7,Moderate,1291
2010,9,7,Severe,821
2010,9,8,None,30780
2010,9,8,Slight,5714
2010,9,8,Moderate,1585
2010,9,8,Severe,1006
2010,9,9,None,26341
2010,9,9,Slight,5640
2010,9,9,Moderate,1866
2010,9,9,Severe,1110
2010,9,10,None,27096
2010,9,10,Slight,6677
2010,9,10,Moderate,2233
2010,9,10,Severe,1391
2010,9,11,None,24449
2010,9,11,Slight,6643
2010,9,11,Moderate,2434
2010,9,11,Severe,1478
2010,9,12,None,25189
2010,9,12,Slight,6890
