yr,mon,u_carrier,delay_type,type_count
2010,9,CO,Severe,1249
2010,9,DH,None,0
2010,9,DH,Slight,0
2010,9,DH,Moderate,0
2010,9,DH,Severe,0
2010,9,DL,None,50499
2010,9,DL,Slight,18779
2010,9,DL,Moderate,10071
2010,9,DL,Severe,4632
2010,9,EV,None,15398
2010,9,EV,Slight,2892
2010,9,EV,Moderate,1804
2010,9,EV,Severe,1662
2010,9,F9,None,5964
2010,9,F9,Slight,2536
2010,9,F9,Moderate,792
2010,9,F9,Severe,342
2010,9,FL,None,17223
2010,9,FL,Slight,3613
2010,9,FL,Moderate,1108
2010,9,FL,Severe,922
2010,9,HA,None,327
2010,9,HA,Slight,133
2010,9,HA,Moderate,56
2010,9,HA,Severe,28
2010,9,HP,None,0
2010,9,HP,Slight,0
2010,9,HP,Moderate,0
2010,9,HP,Severe,0
2010,9,KH,None,0
2010,9,KH,Slight,0
2010,9,KH,Moderate,0
2010,9,KH,Severe,0
2010,9,MQ,None,24519
2010,9,MQ,Slight,7388
2010,9,MQ,Moderate,3670
2010,9,MQ,Severe,2347
2010,9,NW,None,0
2010,9,NW,Slight,0
2010,9,NW,Moderate,0
2010,9,NW,Severe,0
2010,9,OH,None,5680
2010,9,OH,Slight,2677
2010,9,OH,Moderate,1442
2010,9,OH,Severe,904
2010,9,OO,None,32828
2010,9,OO,Slight,10518
2010,9,OO,Moderate,4056
2010,9,OO,Severe,2480
2010,9,TZ,None,0
2010,9,TZ,Slight,0
2010,9,TZ,Moderate,0
2010,9,TZ,Severe,0
2010,9,UA,None,32128
2010,9,UA,Slight,4297
2010,9,UA,Moderate,2203
2010,9,UA,Severe,1684
2010,9,US,None,28842
2010,9,US,Slight,8096
2010,9,US,Moderate,3452
2010,9,US,Severe,1532
2010,9,VX,None,0
2010,9,VX,Slight,0
2010,9,VX,Moderate,0
2010,9,VX,Severe,0
2010,9,WN,None,39602
2010,9,WN,Slight,14712
2010,9,WN,Moderate,6003
2010,9,WN,Severe,2371
2010,9,XE,None,21102
2010,9,XE,Slight,5206
2010,9,XE,Moderate,2003
2010,9,XE,Severe,1588
2010,9,YV,None,7926
2010,9,YV,Slight,2230
2010,9,YV,Moderate,623
2010,9,YV,Severe,389
2010,10,9E,None,12101
2010,10,9E,Slight,2394
2010,10,9E,Moderate,1155
2010,10,9E,Severe,761
2010,10,AA,None,39656
2010,10,AA,Slight,10552
